Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
HYC,HYperspectral Camera,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ASI,Approved,Hyperspectral imagers and imaging multi-spectral radiometers (vis/ir),Medium-resolution IR spectrometer,Hyperspectral data for complex land ecosystem studies.,"VNIR: 400 - 1010 nm, SWIR: 920 - 2500 nm","VIS, NIR, SWIR",30 m,30,30 km,Spectral resolution 10 nm,Constrained Access,HDF
HYDRA,Hot Plasma Analyzer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
HYDROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,Hydrometers,,,,,,,,,,,,,,
HYDROPHONES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,Acoustic Sounders,,,,,,,,,,,,,,
HYGROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,Hygrometers,,,,,,,,,,,,,,
HYGROTHERMOGRAPHS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,Hydrothermographs,,,,,,,,,,,,,,
Hyperion,Hyperspectral Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,Hyperspectral imagers and imaging multi-spectral radiometers (vis/ir),High resolution optical imager,Hyperspectral imaging of land surfaces.,VIS - NIR: 400 - 1000 nm; NIR - SWIR: 900 - 2500 nm; 10 nm spectral resolution for 220 bands,"VIS, NIR, SWIR",30 m,30,185 km,SNR @ 10% refl target: vis 10-40 swir 10-20,Open Access,HDF
HYPERION,HYPERSPECTRAL IMAGER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Hyperspectral Spectrometers/Radiometers,,,,,,,,,,,,,
HYPSOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,Hypsometers,,,,,,,,,,,,,,
HYSI (Cartosat-3/3A),Hyperspectral SWIR,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Proposed,Imaging multi-spectral radiometers (vis/IR),,,SWIR & VNIR Hperspectral with 200 bands,SWIR,12 m,12,5 km,,Constrained Access,
HYSI-SWIR,Hyperspectral SWIR,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Proposed,Imaging multi-spectral radiometers (vis/IR),,,60 Bands VNIR,SWIR,320 m,320,,,Constrained Access,
HYSI-VNIR,Hyperspectral VNIR,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Proposed,Imaging multi-spectral radiometers (vis/IR),,,150 Bands SWIR,NIR,192 m,192,,,Constrained Access,
IASI,Infrared Atmospheric Sounding Interferometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES (EUMETSAT),Operational,Atmospheric temperature and humidity sounders and atmospheric chemistry,Medium-resolution IR spectrometer,"Measures tropospheric moisture and temperature, column integrated contents of ozone, carbon monoxide, methane, dinitrogen oxide and other minor gases which affect tropospheric chemistry. Also measures sea surface and land temperature.",MWIR - TIR: 3.4 - 15.5 µm with gaps at 5 µm and 9 µm,"MWIR, TIR","Vertical: 1 - 30 km, Horizontal: 25 km",,2052 km,"Temperature: 0.5 - 2 K, specific humidity: 0.1 - 0.3 g/kg, ozone, trace gas profile: 10%",,
IASI,Infrared Atmospheric Sounding Interferometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,Interferometers,,,,,,,,,,,,,
IASI-NG,Infrared Atmospheric Sounding Interferometer - Next Generation,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,EUMETSAT (CNES),Proposed,Atmospheric temperature and humidity sounders,Medium-resolution IR spectrometer,Instrument TBC.,,,,,,,,
ICARE,Influence of Space Radiation on Advanced Components,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES (CONAE),Operational,Space environment,Space environment monitor,Improvement of risk estimation models on latest generation of integrated circuits technology.,,"TBD, N/A",,,,,Constrained Access,
ICE AUGERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Corers,,,,,,,,,,,,,,,
ICE CORE MELTER,ICE CORE CONTINUOUS MELTER,GCMD Instruments - Revision: 2014-08-28 16:20:21,,,,,,,,,,,,,,,,
ICE STRESS SENSORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
ICECUBE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,Telescopes,,,,,,,,,,,,,,
ICI,Ice Cloud Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,EUMETSAT (ESA),Proposed,Imaging multi-spectral radiometers (passive microwave),Multi-purpose imaging MW radiometer,,11 channels from 183 to 664 GHz,MW,Footprint size 15 km (Threshhold),,,,,
ICI,Ion Composition Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
ICP-AES,Inductively Coupled Plasma Atomic Emission Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
ICP-ES,INDUCTIVELY COUPLED PLASMA EMISSION SPECTROSCOPY,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
ICP-MS,Inductively Coupled Plasma Mass Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
IDCS NIMBUS-3,Image Dissector Camera System on NIMBUS-3,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
IDM,Ion Drift Meter,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
IES,Inverted Echo Sounders,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Acoustic Sounders,,,,,,,,,,,,,
IFSAR,Interferometric Synthetic Aperture Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Imaging Radars,,,,,,,,,,,,,,
IIR,Imaging Infrared Radiometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,Radiometer optimised for combined IIR/lidar retrievals of cirrus particle size.,"TIR: 8.7 µm, 10.5 µm, and 12.0 µm (0.8 µm resolution)",TIR,1 km,1000,64 km,1 K,,HDF
IIR,Imaging Infrared Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
IKAR,Multichannel Microwave Radiometric System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
IKFS-2,Fourier spectrometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Prototype,Atmospheric temperature and humidity sounders,High-resolution nadir-scanning IR spectrometer,"Atmospheric temperature/humidity profiles, data on cloud parameters, water vapour & ozone column amounts, surface temperature.","5 - 15 µm, more then 5000 spectral channels",TIR,"35 -100 km, spectral resolution ~0.5 cm-1",35,1000/2000 km,0.5 K,Constrained Access,
ILAS,Improved Limb Atmospheric Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
ILAS II,Improved Limb Atmospheric Spectrometer-II,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
Imager,Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"Measures cloud cover, atmospheric radiance, winds, atmospheric stability, rainfall estimates. Used to provide severe storm warnings/ monitoring day and night (type, amount, storm features).","GOES 8 - 11: VIS: 1 channel (8 detectors), IR: 4 channels: 3.9 µm, 6.7 µm, 10.7 µm and 12 µm, GOES 12 - Q: VIS: 1 channel (8 detectors), IR: 4 channels: 3.9 µm, 6.7 µm, 10.7 µm and 13.3 µm","VIS, NIR",10 km,10000,Full Earth disk,,,
Imager (INSAT),Very High Resolution Radiometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"Cloud cover, severe storm warnings/monitoring day and night (type, amount, storm features), atmospheric radiance winds, atmospheric stability rainfall.","VIS: 0.55 - 0.75 µm; SWIR: 1.55 - 1.7 µm; MWIR: 3.80 - 4.00 µm, 6.50 - 7.00 µm; TIR: 10.2 - 11.3 µm, 11.5 - 12.5 µm","VIS, SWIR, MWIR, TIR","1 x 1 km (VIS and SWIR), 4 x 4 km (MWIR, TIR), 8 x 8 km (in 6.50 - 7.00 µm)",1000,"Full Earth disc and space around, Normal Frame (50 deg. N to 40 deg. S and full E-W coverage), Program Frame (Programmable, E-W Full coverage)",,Open Access,
IMAGER/MTSAT-2,Imager/MTSAT,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,JMA,Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"Measures cloud cover, cloud motion, cloud height, water vapour, rainfall, sea surface temperature and Earth radiation.","VIS - SWIR: 0.55 - 0.80 µm, MWIR - TIR: 3.5 - 4 µm, 6.5 - 7 µm, 10.3 - 11.3 µm, 11.5 - 12.5 µm","VIS, MWIR, TIR","Visible: 1 km, TIR: 4 km",1000,Full Earth disk every hour,,Open Access,LRIT/HRIT
IMAGING RADAR SYSTEMS,"Imaging Radar Systems, Real and Synthetic Aperture",GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Imaging Radars,,,,,,,,,,,,,,
IMAGING RADIOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
IMAGING RIOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Radio Wave Detectors,,,,,,,,,,,,,,,
IME,IMP-8 Magnetometer Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
IMG,Interferometric Monitor for Greenhouse Gases,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Interferometers,,,,,,,,,,,,,
IMPACT,In situ Measurements of Particles and CME Transients,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
IMU,INERTIAL MEASUREMENT UNIT,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
IMWAS,Improved MicroWave Atmospheric Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"NRSCC (CNSA, CAST)",Operational,Atmospheric temperature and humidity sounders,Absorption-band MW radiometer/spectrometer,Atmospheric sounding measurements.,Microwave: 19.35 - 89.0 GHz (8 channels),MW,,,,,,
INCLINOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic/Motion Sensors,Gravimeters,,,,,,,,,,,,,,
INCOHERENT SCATTER RADAR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
INCUBATOR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
INES,Italian Navigation Experiment,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ASI (CONAE),Operational,Precision orbit,GNSS receiver,Composed of GPS Tensor and GNSS Lagrange Receiver to perform navigation experiment on precise orbit determination.,,TBD,,,,,Constrained Access,-
INFRARED INSTRUMENT SUITE,Infrared Instrument Suite (CLARREO),GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
INFRARED LASER SPECTROSCOPY,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
INFRARED RADIOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
INFRARED THERMOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,Thermometers,,,,,,,,,,,,,,
INFRASONIC MICROPHONES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,Acoustic Sounders,,,,,,,,,,,,,,
INS,Inertial Navigation System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,Radio,,,,,,,,,,,,,
INSAT-3D SOUNDER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
INTERFEROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Interferometers,,,,,,,,,,,,,
ION CHROMATOGRAPHS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
ION MICROPROBES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
IONIZATION CHAMBER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
IONIZATION PRESSURE GAUGES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
IONOSONDE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radio Sounders,,,,,,,,,,,,,
IPDA LIDAR,Integrated Path Differential Absorption Light Detection and Ranging Instrument,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,DLR (CNES),Proposed,Atmospheric chemistry,Atmospheric lidar,'Active' optical remote sensing instrument for atmospheric parameters or trace gases. Global information on atmospheric Methane concentration (Methane column density measurements).,"Two laser wavelengths, mean wavelength 1645 µm",SWIR,50 km x 0.1 km,,0.1 km,<2%,Open Access,
IPU,Instrument Processing Unit,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,,,,,,,,,,,,,,
IR (HJ-1B),Infrared Camera,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CAST,Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,Infrared measurements for environment and natural disaster monitoring.,"0.75 - 1.10 µm, 1.55 - 1.75 µm, 3.50 - 3.90 µm, 10.5 - 12.5 µm","NIR, SWIR, MWIR, TIR","300 m (10.5 - 12.5 _m), 150 m (the other bands)",150,720 km,,Open Access,
IR CO2 ANALYZER,Infrared Carbon Dioxide Analyzer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
IR Correlation Radiometer (GeoCape),IR Correlation Radiometer (GeoCape),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Proposed,Imaging multi-spectral radiometers (vis/IR),Narrow-band channel IR radiometer,"The near-IR and thermal-IR data will describe vertical CO, an excellent tracer of long-range transport of pollution. Identifying large scale vegetation burning events. Characterizing the oxidizing capacity of the atmosphere.","2.3, 4.6 µm","SWIR, MWIR","7 km horizontal spatial resolution, 2-3 layers in vertical resolution; < 0.2 um spectral resolution.",7000,2-d image of continental domain (north or south America).,CO precision: 1 x 10^17 cm^ (-2),Open Access,
IR Spectrometer(GACM),IR Spectrometer(GACM),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Proposed,Atmospheric chemistry,High-resolution nadir-scanning IR spectrometer,Daytime column measurements of CO in SWIR at 2.4 µm.,2.4 and 4.6 µm,SWIR,,,,,Open Access,
IRAS,InfraRed Atmospheric Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"NRSCC (NSMC-CMA, CNSA, CAST)",Operational,Atmospheric temperature and humidity sounders,Narrow-band channel IR radiometer,Atmospheric sounding for weather forecasting.,VIS - TIR: 0.65 - 14.95 µm (26 channels),"VIS, NIR, SWIR, MWIR, TIR",14 km,,952 km,17 km,Open Access,L-1 data: HDF 5.0
IRAS,InfraRed Atmospheric Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
IRFS-2,Infrared Fourier Spectrometer-2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
IRGA,Infrared Gas Analyzers,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
IRIS,Infrared Interferometer Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Interferometers,,,,,,,,,,,,,
IRIS-XSAT,IRIS on X-Sat,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
IRMS,ISOTOPIC RATIO MASS SPECTROMETER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
IRMSS,Infrared Multispectral Scanner,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
IRS,Infra-Red Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,EUMETSAT (ESA),Being developed,Atmospheric temperature and humidity sounders,Medium-resolution IR spectrometer,"Measurements of vertically resolved clear sky atmospheric motion vectors, temperature and water vapour profiles.","LWIR: 700 - 1210 cm^-1, MWIR: 1600 - 2175 cm^-1","MWIR, TIR","Horizontal: 4 km at SSP, Vertical: 1 km",4000,"640 x 640 km dwells, step and stare, moving alternatley E-W and W-E moving up S-N one dwell step at the end of each row of dwells. Each disc is divided in 4 areas of Local Area Coverage (LAC).","clear sky AMVs: 2 m/s, temperature profile: 1 K, water vapour profile: 5%",Open Access,"NetCDF, BUFR"
IRS,Infrared Radiometer/Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
IRS,Infrared scanner,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CAST (INPE),Being developed,Imaging multi-spectral radiometers (vis/IR),High-resolution nadir-scanning IR spectrometer,"Earth resources, environmental monitoring, land use.","0.5 - 0.9 µm; 1.55 - 1.75 µm, 2.08 - 2.35 µm; 10.4 - 12.5 µm","VIS, NIR, SWIR, TIR","PAN, SWIR: 40 m, TIR: 80 m",40,120 km,,Open Access,GEOTIFF
IRS (CBERS),Infrared System (CBERS 3 and 4),GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
IRS (HuanJing 1B),,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
IRS (SJ-9B),Infrared scanner,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CRESDA,Operational,Imaging multi-spectral radiometers (passive microwave),High-resolution nadir-scanning IR spectrometer,,8-12 µm,TIR,73 m,73,18 km,,,
ISAMS,Improved Stratospheric And Mesospheric Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
ISO,Imaging Spectrometric Observatory,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
ISS,Integrated Sounding System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
IST,Italian Star Tracker,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ASI (CONAE),Operational,Precision orbit,Star tracker,Test of a fully autonomous system for attitude and orbit determination using a star tracker.,,TBD,,,,,No Access,-
IVISSR (FY-2),Improved Multispectral Visible and Infra-red Scan Radiometer (5 channels),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"NRSCC (NSMC-CMA, CNSA, CAST)",Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,Meteorological.,VIS - TIR: 0.5 - 12.5 µm (5 channels),"VIS, MWIR, TIR",5 km,5000,Full Earth disk,1.25 - 5 km,Open Access,DAT
JAMI,Japanese Advanced Meteorological Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
JAMI/MTSAT-1R,Japanese Advanced Meteorological Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,JMA,Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"Measures cloud cover, cloud motion, cloud height, water vapour, rainfall, sea surface temperature and Earth radiation.","VIS - SWIR: 0.55 - 0.90 µm, MWIR - TIR: 3.5 - 4 µm, 6.5 - 7 µm, 10.3 - 11.3 µm, 11.5 - 12.5 µm","VIS, MWIR, TIR","Visible: 1 km, TIR: 4 km",1000,Full Earth disk every hour,,Open Access,LRIT/HRIT
